ID,Month,DayofMonth,DayOfWeek,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,TotalDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1,1,3,4,335,N712SW,128,150,116,-6,IAD,TPA,810,4,8,,,,,
2,1,3,4,3231,N772SW,128,145,113,21,IAD,TPA,810,5,10,,,,,
3,1,3,4,448,N428WN,96,90,76,22,IND,BWI,515,3,17,,,,,
4,1,3,4,3920,N464WN,90,90,77,68,IND,BWI,515,3,10,2,0,0,0,32
5,1,3,4,378,N726SW,101,115,87,36,IND,JAX,688,4,10,,,,,
6,1,3,4,509,N763SW,240,250,230,124,IND,LAS,1591,3,7,10,0,0,0,47
7,1,3,4,100,N690SW,130,135,106,7,IND,MCO,828,5,19,,,,,
8,1,3,4,1333,N334SW,121,135,107,174,IND,MCO,828,6,8,8,0,0,0,72
9,1,3,4,2272,N263WN,52,50,37,20,IND,MDW,162,6,9,,,,,
10,1,3,4,675,N286WN,228,240,213,42,IND,PHX,1489,7,8,3,0,0,0,12
11,1,3,4,1144,N778SW,226,250,205,-6,IND,PHX,1489,5,16,,,,,
12,1,3,4,4,N674AA,123,135,110,44,IND,TPA,838,4,9,0,0,0,0,16
13,1,3,4,54,N643SW,56,70,49,88,ISP,BWI,220,2,5,12,0,0,0,25
14,1,3,4,623,N724SW,57,70,47,51,ISP,BWI,220,5,5,7,0,0,0,12
15,1,3,4,717,N786SW,56,70,49,26,ISP,BWI,220,2,5,,,,,
16,1,3,4,1244,N714CB,54,70,47,2,ISP,BWI,220,2,5,,,,,
17,1,3,4,2553,N394SW,59,70,50,39,ISP,BWI,220,2,7,,,,,
18,1,3,4,188,N215WN,155,195,143,134,ISP,FLL,1093,6,6,40,0,0,0,7
19,1,3,4,1754,N243WN,165,190,155,33,ISP,FLL,1093,3,7,,,,,
20,1,3,4,362,N798SW,147,165,134,146,ISP,MCO,972,6,7,5,0,0,0,59
21,1,3,4,1397,N247WN,154,170,140,8,ISP,MCO,972,7,7,,,,,
22,1,3,4,3398,N707SA,146,170,134,14,ISP,MCO,972,6,6,,,,,
23,1,3,4,3480,N443WN,145,170,134,53,ISP,MCO,972,5,6,,,,,
24,1,3,4,422,N779SW,135,145,118,154,ISP,MDW,765,6,11,3,0,0,0,69
25,1,3,4,1837,N704SW,128,145,114,27,ISP,MDW,765,9,5,,,,,
26,1,3,4,2871,N709SW,127,145,113,40,ISP,MDW,765,8,6,,,,,
27,1,3,4,1056,N459WN,153,180,143,85,ISP,PBI,1052,5,5,0,0,0,0,29
28,1,3,4,2175,N621SW,150,185,138,13,ISP,PBI,1052,4,8,,,,,
29,1,3,4,3319,N206WN,152,180,140,-16,ISP,PBI,1052,4,8,,,,,
30,1,3,4,3667,N280WN,163,195,151,-20,ISP,RSW,1101,3,9,,,,,
31,1,3,4,2006,N241WN,155,180,143,1,ISP,TPA,1034,4,8,,,,,
32,1,3,4,3858,N200WN,154,180,144,10,ISP,TPA,1034,4,6,,,,,
33,1,3,4,3244,N475WN,136,130,121,36,JAN,BWI,888,7,8,0,0,6,0,15
34,1,3,4,186,N792SW,69,80,59,619,JAN,HOU,359,3,7,282,0,0,0,22
35,1,3,4,3154,N252WN,70,80,60,80,JAN,HOU,359,3,7,26,0,0,0,9
36,1,3,4,1035,N346SW,96,100,81,102,JAN,MCO,587,8,7,7,0,0,0,42
37,1,3,4,205,N299WN,143,115,97,48,JAN,MDW,666,40,6,1,0,28,0,9
38,1,3,4,3430,N487WN,71,75,59,42,JAX,BHM,365,3,9,0,0,0,0,19
39,1,3,4,1580,N243WN,99,95,77,56,JAX,BNA,484,6,16,26,0,4,0,0
40,1,3,4,2195,N479WN,86,90,72,56,JAX,BNA,484,5,9,0,0,0,10,16
41,1,3,4,378,N726SW,65,70,54,13,JAX,FLL,318,3,8,,,,,
42,1,3,4,3948,N467WN,63,70,49,9,JAX,FLL,318,6,8,,,,,
43,1,3,4,54,N643SW,143,150,125,69,JAX,HOU,816,6,12,11,0,0,0,20
44,1,3,4,2272,N263WN,119,125,104,18,JAX,IND,688,7,8,,,,,
45,1,3,4,23,N521SW,127,135,113,80,JAX,PHL,742,4,10,3,0,0,0,33
46,1,3,4,1232,N663SW,134,135,120,23,JAX,PHL,742,5,9,,,,,
