ID,Month,DayofMonth,DayOfWeek,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,TotalDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
0,1,31,4,1520,224,230,198,192,390,198,MDW,PHX,1444,4,22,0,11,0,0,181
1,1,31,4,1592,252,235,197,85,153,68,MDW,PHX,1444,3,52,19,0,17,0,49
2,1,31,4,3930,310,235,194,194,313,119,MDW,PHX,1444,6,110,9,0,75,0,110
3,1,31,4,207,111,75,60,277,518,241,MDW,PIT,402,8,43,50,0,36,0,191
4,1,31,4,1123,87,75,53,61,110,49,MDW,PIT,402,3,31,49,0,12,0,0
5,1,31,4,1210,191,75,57,267,418,151,MDW,PIT,402,7,127,29,0,116,0,122
6,1,31,4,3069,97,75,55,100,178,78,MDW,PIT,402,4,38,0,56,22,0,22
7,1,31,4,1531,115,125,99,33,76,43,MDW,PVD,842,3,13,7,0,0,0,26
8,1,31,4,1849,112,125,98,-7,-1,6,MDW,PVD,842,4,10,,,,,
9,1,31,4,2462,127,125,97,78,154,76,MDW,PVD,842,8,22,0,4,2,0,72
10,1,31,4,3576,139,125,99,85,156,71,MDW,PVD,842,3,37,0,15,14,0,56
11,1,31,4,903,132,105,88,39,51,12,MDW,RDU,632,4,40,12,0,27,0,0
12,1,31,4,2360,133,100,89,144,255,111,MDW,RDU,632,4,40,0,62,33,0,49
13,1,31,4,3187,119,110,96,106,203,97,MDW,RDU,632,3,20,0,16,9,0,81
14,1,31,4,3836,273,255,240,50,82,32,MDW,RNO,1680,6,27,12,0,18,0,20
15,1,31,4,597,234,165,151,334,599,265,MDW,RSW,1105,3,80,0,33,69,0,232
16,1,31,4,620,182,170,153,24,36,12,MDW,RSW,1105,4,25,2,0,12,0,10
17,1,31,4,1424,277,265,241,144,276,132,MDW,SAN,1728,2,34,128,0,12,0,4
18,1,31,4,1766,258,265,230,6,19,13,MDW,SAN,1728,4,24,,,,,
19,1,31,4,1777,336,265,232,315,559,244,MDW,SAN,1728,3,101,0,21,71,0,223
20,1,31,4,2113,277,265,234,84,156,72,MDW,SAN,1728,2,41,0,32,12,0,40
21,1,31,4,626,179,175,144,188,372,184,MDW,SAT,1036,2,33,0,20,4,0,164
22,1,31,4,259,96,65,51,83,135,52,MDW,SDF,271,5,40,4,0,31,0,48
23,1,31,4,1111,70,65,51,277,549,272,MDW,SDF,271,6,13,0,46,5,0,226
24,1,31,4,1176,92,65,51,66,105,39,MDW,SDF,271,5,36,6,0,27,0,33
25,1,31,4,1471,75,65,55,392,774,382,MDW,SDF,271,4,16,118,0,10,0,264
26,1,31,4,1108,285,270,250,58,101,43,MDW,SEA,1733,4,31,0,0,15,0,43
27,1,31,4,1450,259,270,234,246,503,257,MDW,SEA,1733,4,21,0,58,0,0,188
28,1,31,4,3259,255,270,233,4,23,19,MDW,SEA,1733,4,18,,,,,
29,1,31,4,1481,298,285,271,185,357,172,MDW,SFO,1855,5,22,0,116,13,0,56
30,1,31,4,2987,354,285,258,290,511,221,MDW,SFO,1855,6,90,0,15,69,0,206
31,1,31,4,3396,301,285,270,210,404,194,MDW,SJC,1838,3,28,16,0,16,0,178
32,1,31,4,1948,252,210,178,277,512,235,MDW,SLC,1258,3,71,0,62,42,0,173
33,1,31,4,121,258,270,241,3,18,15,MDW,SMF,1790,3,14,,,,,
34,1,31,4,1598,308,270,247,119,200,81,MDW,SMF,1790,6,55,75,0,38,0,6
35,1,31,4,29,77,65,55,71,130,59,MDW,STL,251,4,18,0,10,12,0,49
36,1,31,4,57,113,65,53,102,156,54,MDW,STL,251,6,54,0,20,48,0,34
37,1,31,4,967,,60,,,173,173,MDW,STL,251,,53,,,,,
38,1,31,4,1101,103,65,51,216,394,178,MDW,STL,251,6,46,164,0,38,0,14
39,1,31,4,1620,142,65,56,178,279,101,MDW,STL,251,10,76,39,0,77,0,62
40,1,31,4,3239,88,60,52,78,128,50,MDW,STL,251,3,33,50,0,28,0,0
41,1,31,4,709,192,150,136,90,138,48,MDW,TPA,997,4,52,0,0,42,0,48
42,1,31,4,1431,173,155,140,40,62,22,MDW,TPA,997,5,28,22,0,18,0,0
43,1,31,4,3238,190,155,140,90,145,55,MDW,TPA,997,3,47,8,0,35,0,47
44,1,31,4,3920,209,150,140,170,281,111,MDW,TPA,997,4,65,0,23,59,0,88
45,1,31,4,978,224,225,197,108,217,109,MDW,TUS,1440,3,24,0,27,0,0,81
46,1,31,4,3307,272,225,196,293,539,246,MDW,TUS,1440,3,73,62,0,47,0,184
47,1,31,4,2785,80,90,70,56,122,66,MHT,BWI,377,3,7,0,0,0,0,56
48,1,31,4,3685,104,95,80,45,81,36,MHT,BWI,377,13,11,0,0,9,0,36
49,1,31,4,3766,84,95,73,54,119,65,MHT,BWI,377,4,7,0,0,0,0,54
50,1,31,4,396,192,200,173,21,50,29,MHT,MCO,1142,5,14,0,0,0,0,21
51,1,31,4,1076,181,195,170,67,148,81,MHT,MCO,1142,4,7,2,0,0,0,65
52,1,31,4,2532,199,195,175,26,48,22,MHT,MCO,1142,6,18,0,0,4,0,22
53,1,31,4,892,207,155,186,83,114,31,MHT,MDW,838,13,8,0,0,52,0,31
54,1,31,4,3413,223,155,189,186,304,118,MHT,MDW,838,16,18,0,0,123,0,63
55,1,31,4,217,55,75,45,16,52,36,MSY,BHM,321,3,7,1,0,0,0,15
56,1,31,4,1357,54,75,43,45,111,66,MSY,BHM,321,2,9,4,0,0,0,41
57,1,31,4,3307,87,85,68,15,28,13,MSY,BNA,471,10,9,0,0,10,0,5
58,1,31,4,1360,78,85,70,38,83,45,MSY,DAL,437,3,5,0,9,0,0,29
59,1,31,4,1376,101,85,86,50,84,34,MSY,DAL,437,2,13,0,0,28,0,22
60,1,31,4,1614,86,85,75,20,39,19,MSY,DAL,437,2,9,10,0,1,0,9
61,1,31,4,3758,82,85,75,193,389,196,MSY,DAL,437,2,5,0,0,0,0,193
62,1,31,4,1412,100,100,85,96,192,96,MSY,FLL,673,4,11,0,11,0,0,85
63,1,31,4,224,68,70,58,112,226,114,MSY,HOU,303,3,7,2,0,0,0,110
64,1,31,4,245,117,70,88,154,261,107,MSY,HOU,303,4,25,0,0,146,0,8
65,1,31,4,698,96,70,75,207,388,181,MSY,HOU,303,4,17,0,174,26,0,7
66,1,31,4,1462,81,70,68,40,69,29,MSY,HOU,303,4,9,0,29,11,0,0
67,1,31,4,2126,70,70,58,65,130,65,MSY,HOU,303,3,9,1,0,0,0,64
68,1,31,4,2438,109,70,67,137,235,98,MSY,HOU,303,2,40,1,0,39,0,97
69,1,31,4,3145,60,65,54,19,43,24,MSY,HOU,303,2,4,5,0,0,0,14
70,1,31,4,3415,75,70,58,159,313,154,MSY,HOU,303,6,11,16,0,5,0,138
71,1,31,4,3670,69,70,57,153,307,154,MSY,HOU,303,3,9,0,50,0,0,103
72,1,31,4,3761,81,70,66,44,77,33,MSY,HOU,303,4,11,7,0,11,0,26
73,1,31,4,2554,253,240,231,35,57,22,MSY,LAS,1501,5,17,0,0,26,0,9
74,1,31,4,3754,232,240,222,24,56,32,MSY,LAS,1501,5,5,0,0,6,0,18
75,1,31,4,1322,98,100,80,87,176,89,MSY,MCO,550,9,9,0,3,0,0,84
76,1,31,4,1404,90,95,78,27,59,32,MSY,MCO,550,5,7,8,0,0,0,19
77,1,31,4,2821,88,100,77,92,196,104,MSY,MCO,550,4,7,14,0,0,0,78
78,1,31,4,1162,81,80,69,136,271,135,MSY,TPA,487,4,8,8,0,1,0,127
79,1,31,4,1271,81,85,68,9,22,13,MSY,TPA,487,4,9,,,,,
80,1,31,4,2803,93,85,65,28,48,20,MSY,TPA,487,3,25,3,0,8,0,17
81,1,31,4,1347,119,130,108,15,41,26,OAK,ABQ,889,5,6,2,0,0,0,13
