ID,Month,DayofMonth,DayOfWeek,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,TotalDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
0,1,3,4,335,128,150,116,-14,-6,8,IAD,TPA,810,4,8,,,,,
1,1,3,4,3231,128,145,113,2,21,19,IAD,TPA,810,5,10,,,,,
2,1,3,4,448,96,90,76,14,22,8,IND,BWI,515,3,17,,,,,
4,1,3,4,3920,90,90,77,34,68,34,IND,BWI,515,3,10,2,0,0,0,32
5,1,3,4,378,101,115,87,11,36,25,IND,JAX,688,4,10,,,,,
6,1,3,4,509,240,250,230,57,124,67,IND,LAS,1591,3,7,10,0,0,0,47
10,1,3,4,100,130,135,106,1,7,6,IND,MCO,828,5,19,,,,,
11,1,3,4,1333,121,135,107,80,174,94,IND,MCO,828,6,8,8,0,0,0,72
15,1,3,4,2272,52,50,37,11,20,9,IND,MDW,162,6,9,,,,,
16,1,3,4,675,228,240,213,15,42,27,IND,PHX,1489,7,8,3,0,0,0,12
17,1,3,4,1144,226,250,205,-15,-6,9,IND,PHX,1489,5,16,,,,,
18,1,3,4,4,123,135,110,16,44,28,IND,TPA,838,4,9,0,0,0,0,16
19,1,3,4,54,56,70,49,37,88,51,ISP,BWI,220,2,5,12,0,0,0,25
21,1,3,4,623,57,70,47,19,51,32,ISP,BWI,220,5,5,7,0,0,0,12
22,1,3,4,717,56,70,49,6,26,20,ISP,BWI,220,2,5,,,,,
23,1,3,4,1244,54,70,47,-7,2,9,ISP,BWI,220,2,5,,,,,
25,1,3,4,2553,59,70,50,14,39,25,ISP,BWI,220,2,7,,,,,
26,1,3,4,188,155,195,143,47,134,87,ISP,FLL,1093,6,6,40,0,0,0,7
27,1,3,4,1754,165,190,155,4,33,29,ISP,FLL,1093,3,7,,,,,
30,1,3,4,362,147,165,134,64,146,82,ISP,MCO,972,6,7,5,0,0,0,59
33,1,3,4,1397,154,170,140,-4,8,12,ISP,MCO,972,7,7,,,,,
34,1,3,4,3398,146,170,134,-5,14,19,ISP,MCO,972,6,6,,,,,
35,1,3,4,3480,145,170,134,14,53,39,ISP,MCO,972,5,6,,,,,
37,1,3,4,422,135,145,118,72,154,82,ISP,MDW,765,6,11,3,0,0,0,69
38,1,3,4,1837,128,145,114,5,27,22,ISP,MDW,765,9,5,,,,,
39,1,3,4,2871,127,145,113,11,40,29,ISP,MDW,765,8,6,,,,,
40,1,3,4,1056,153,180,143,29,85,56,ISP,PBI,1052,5,5,0,0,0,0,29
41,1,3,4,2175,150,185,138,-11,13,24,ISP,PBI,1052,4,8,,,,,
42,1,3,4,3319,152,180,140,-22,-16,6,ISP,PBI,1052,4,8,,,,,
43,1,3,4,3667,163,195,151,-26,-20,6,ISP,RSW,1101,3,9,,,,,
44,1,3,4,2006,155,180,143,-12,1,13,ISP,TPA,1034,4,8,,,,,
45,1,3,4,3858,154,180,144,-8,10,18,ISP,TPA,1034,4,6,,,,,
48,1,3,4,3244,136,130,121,21,36,15,JAN,BWI,888,7,8,0,0,6,0,15
49,1,3,4,186,69,80,59,304,619,315,JAN,HOU,359,3,7,282,0,0,0,22
52,1,3,4,3154,70,80,60,35,80,45,JAN,HOU,359,3,7,26,0,0,0,9
53,1,3,4,1035,96,100,81,49,102,53,JAN,MCO,587,8,7,7,0,0,0,42
54,1,3,4,205,143,115,97,38,48,10,JAN,MDW,666,40,6,1,0,28,0,9
56,1,3,4,3430,71,75,59,19,42,23,JAX,BHM,365,3,9,0,0,0,0,19
57,1,3,4,1580,99,95,77,30,56,26,JAX,BNA,484,6,16,26,0,4,0,0
58,1,3,4,2195,86,90,72,26,56,30,JAX,BNA,484,5,9,0,0,0,10,16
64,1,3,4,378,65,70,54,4,13,9,JAX,FLL,318,3,8,,,,,
69,1,3,4,3948,63,70,49,1,9,8,JAX,FLL,318,6,8,,,,,
70,1,3,4,54,143,150,125,31,69,38,JAX,HOU,816,6,12,11,0,0,0,20
71,1,3,4,2272,119,125,104,6,18,12,JAX,IND,688,7,8,,,,,
74,1,3,4,23,127,135,113,36,80,44,JAX,PHL,742,4,10,3,0,0,0,33
